Job_Title,Position,Employer,Province,Location,Skill,Seniority,Work_Type,Industry_Type,Avg_Salary
Systems and Data Analysts,Risk Analyst,Binance,Remote,Remote,"PYTHON, SQL",ANY,Remote,Others,82720
Business and Marketing Analysts,Business Analyst,Canadian Nuclear Laboratories,Remote,Remote,"POWER BI, POWER BI, EXCEL",ANY,Remote,Others,76000
Business and Technical Analysts,Data Analyst,Sander Geophysics Limited,Ontario,"Ottawa, Ontario",No Specification,ANY,In-Person,Technology,75361.795
Systems and Data Analysts,Data Engineer,"Maximus Services, LLC",Ontario,"Toronto, Ontario","FABRIC, POWER BI, SQL, MACHINE LEARNING, GENESYS, PYTHON, R, DATABASE",ANY,In-Person,Service,96437.5
Systems and Data Analysts,Data Specialist,Niagara Health System,Ontario,"Niagara, Ontario","AZURE, POWER BI, SQL, AWS",Senior,In-Person,Healthcare,122772
Senior Supply Chain Data Analysts,Analyst,IMP Group,British Columbia,"Abbotsford, British Columbia",EXCEL,ANY,In-Person,Others,77750
Senior Business Intelligence Analysts,Analyst,Ground Effects,Ontario,"Windsor, Ontario","C#, JAVASCRIPT, SQL, DATABASE",ANY,In-Person,Others,78150
Systems and Data Analysts,Programmer,The City of Vancouver,British Columbia,"Vancouver, British Columbia","DATABASE, SQL, POWER PLATFORM, SSIS, AZURE, SSRS, GIT, .NET, PYTHON, JAVASCRIPT",ANY,In-Person,Technology,99424
Senior Business Intelligence Analysts,Developer,Ontario Health,Ontario,"Toronto, Ontario","POWER BI, POWER PLATFORM, SSIS, SQL, BIG DATA, SAS, SSRS, AZURE, PYTHON, R",Senior,In-Person,Healthcare,78150
Senior Supply Chain Data Analysts,Business Analyst,Softline Technology,Ontario,"Toronto, Ontario","SQL, GAP, POWER BI",Senior,In-Person,Technology,77750
Senior Supply Chain Data Analysts,Business Analyst,Softline Technology,Ontario,"Toronto, Ontario","SQL, GAP, POWER BI",Senior,In-Person,Technology,77750
Senior Supply Chain Data Analysts,Business Analyst,Softline Technology,Ontario,"Toronto, Ontario","SQL, GAP, POWER BI",Senior,In-Person,Technology,77750
Senior Supply Chain Data Analysts,Business Analyst,DLL,Ontario,"Burlington, Ontario","JIRA, EXCEL, REASON, DATABASE",ANY,In-Person,Others,94872.5
Senior Business Intelligence Analysts,Analyst,Toronto Hydro,Ontario,"Toronto, Ontario","GAP, VBA, EXCEL, SQL",ANY,In-Person,Others,78150
Systems and Data Analysts,Programmer,The City of Vancouver,British Columbia,"Vancouver, British Columbia","DATABASE, SQL, POWER PLATFORM, SSIS, AZURE, SSRS, GIT, .NET, PYTHON, JAVASCRIPT",ANY,In-Person,Technology,108045.6
Senior Business Analysts,Analyst,Insurance Council of BC,British Columbia,"Vancouver, British Columbia",No Specification,Senior,In-Person,Insurance,109207.5
Senior Business Intelligence Analysts,Analyst,TMX Group Limited,Ontario,"Toronto, Ontario",DATABASE,ANY,In-Person,Technology,78150
Business Systems Analysts,System Analyst,Royal Bank of Canada,Ontario,"Toronto, Ontario","SQL, BIG DATA, GAP, JIRA, DATABASE",Senior,In-Person,Finance,88668.4
Systems and Data Analysts,Analyst,Centre for Addiction and Mental Health,Ontario,"Toronto, Ontario",DATABASE,ANY,In-Person,Healthcare,66695.2
Financial and Operational Analysts,Analyst,Cenovus Energy,Alberta,"Calgary, Alberta",EXCEL,ANY,In-Person,Energy,63229
Senior Business Analysts,Lead,Royal Bank of Canada,British Columbia,"Vancouver, British Columbia","GAP, JIRA, SQL",Senior,In-Person,Finance,75250
Senior Data Analysts,Data Analyst,Toronto Transit Commission,Ontario,"Toronto, Ontario","SQL, TABLEAU, PYTHON, DATABASE, EXCEL, POWER BI, R",ANY,In-Person,Technology,93602.5
Systems and Data Analysts,Lead,City of Barrie,Ontario,"Barrie, Ontario","EXCEL, REASON",Senior,In-Person,Technology,111268.14
Business Systems Analysts,Data Analyst,Accencis Group,Ontario,"Richmond Hill, Ontario",No Specification,ANY,In-Person,Others,90480
Financial and Operational Analysts,Analyst,Weyburn Credit Union,Saskatchewan,"Weyburn, Saskatchewan","HTML, TABLEAU, SQL, CSS, PYTHON, JAVASCRIPT, R, POWER BI",ANY,In-Person,Technology,68819.5
Financial and Operational Analysts,Analyst,Closing the Gap Healthcare,Ontario,"Mississauga, Ontario","GAP, POWER BI, EXCEL",ANY,In-Person,Healthcare,63229
Business Systems Analysts,Risk Analyst,BMO Financial Group,Ontario,"Toronto, Ontario",No Specification,ANY,In-Person,Finance,106700
